ID,Comment Text,Translated
432,고인이되서 증거 불충분으로 기소될거 알지만 <br>이미지는 이미 끝남 김새론입막음 할려고 7억으로 협박하고 영상 지울려다가 하늘나라 가니 당황햇겟지 생일날,"Biết là người đã khuất thì sẽ không bị truy tố vì thiếu bằng chứng nhưng hình ảnh thì đã tan tành rồi. Chắc hẳn đã định bịt miệng Kim Sae Ron bằng 700 triệu won, định xóa clip đi nhưng người ta lại về trời nên hoảng lắm nhỉ, ngay đúng ngày sinh nhật nữa chứ.
"
433,we need translate,"Chúng tôi cần dịch.
"
434,41살에 21살과 결혼할것??? 와 소름끼친다,"41 tuổi mà kết hôn với người 21 tuổi á??? Ghê tởm.
"
435,"I was so amazed at the host,. Let&#39;s unpack the other rot","Tôi đã rất kinh ngạc về người dẫn chương trình. Hãy cùng ""bóc phốt"" những thứ nhảm nhí khác nào.
"
436,진실을 수호하는 당신을 응원하고 Saeron에게 최선을 기원합니다 ❤️‍🩹❤️‍🩹,"Tôi ủng hộ bạn, người bảo vệ sự thật và chúc Saeron những điều tốt đẹp nhất ❤️‍🩹❤️‍🩹
"
437,저런인간이 있다는게 너무싫다 아는동생이라도봐줄수있을텐데꼭 밝혀주셔요<br>방법이없으니그길을택할수밖에<br>없었으니. 얼마나무섭고<br>힘들었을까요<br>생목숨본인이끓는다는게,"Tôi ghét cay ghét đắng cái loại người như vậy. Nếu là người quen biết thì còn có thể giúp đỡ được, nhất định phải làm rõ chuyện này.
Vì không còn cách nào khác nên mới phải chọn con đường đó. Đã sợ hãi và khổ sở đến mức nào chứ.
Việc tự tay dứt bỏ mạng sống của mình đau đớn đến nhường nào.
"
438,😢😢,"😢😢
"
439,아무 관련도 없는 일에 방탄소년단을 왜 끌어들이는 걸까요?,"Tại sao lại lôi BTS vào chuyện chẳng liên quan gì thế này?
"
440,좀 충격적이긴 하다.... 그동안 10년간 쌓아왓던 모든 이미지 한방에 날라가버리네.....,"Có hơi sốc thật.... Tất cả hình tượng xây dựng suốt 10 năm qua tan thành mây khói trong một khoảnh khắc.....
"
441,We need English translation,"Tôi cần bản dịch tiếng Anh.
"
442,김수현 미쳤네.. 설마 이렇게 터지지 않을거라 생각했나?,"Kim Soo Hyun điên rồi... Chẳng lẽ lại nghĩ là sẽ không bùng nổ đến mức này sao?
"
443,내가 지금 중3인데 당시 27살이랑..? 와 진짜 개저씨네..ㅋㅋㅋㅋㅋㅋ,"Tôi giờ đang học cấp 2 mà lúc đó 27 tuổi...? Chà, đúng là ông chú già rồi...ㅋㅋㅋㅋㅋㅋ
"
444,가세연 호감인거 처음이면 개추 ㅋㅋㅋ<br>ㄹㅇ 원래 가세연 맞나,"Nếu đây là lần đầu thích Gaseyeon thì nhấn đề xuấtㅋㅋㅋ
Đúng kiểu Gaseyeon ngày xưa"
445,"와 ㅋㅋ 요즘 진짜 뭐냐? 탄핵반대, 김새론 김수현, mh세대, 노무현재단 ㅋㅋㅋㅋㅋ 훨씬 큰거도 더 많은데 사건사고 빵빵터지노","Uầy ㅋㅋ dạo này thật sự là sao vậy? Phản đối luận tội, Kim Sae Ron Kim Soo Hyun, thế hệ MH, quỹ Roh Moo Hyun ㅋㅋㅋㅋㅋ Còn nhiều cái lớn hơn nhiều nữa mà sự cố sự việc nổ tung trời luôn.
"
446,가세연<br>응원하기는 처음임,Lần đầu tiên tôi ủng hộ Kaseyeon.
447,"저는 심지어 깅새론을 싫어했던 1인입니다.왜 인기있고,잘나갈까? 내가보기엔별룬데..근데,안쓰럽고 안타깝네요..","Tôi thậm chí còn là một người từng ghét Kim Sae Ron. Nghĩ bụng tại sao con bé này lại nổi tiếng, lại thành công như vậy? Nhìn tôi thấy có gì đặc biệt đâu... Nhưng mà, thấy thương và tiếc cho em ấy quá...
"
448,Halo bolehkah sediakan setelah dengan bahasa indonesia juga dan inggris agar kami bisa paham berika kalian😊,"Xin chào, bạn có thể cung cấp bản dịch sang tiếng Indonesia và tiếng Anh để chúng tôi có thể hiểu được không? Cảm ơn bạn.
"
449,@KoreaRoemit buka aja,@KoreaRoemit cứ mở đi
450,"그 사람은 그동안 성인 여자를 좋아하지 않는 것처럼 행동하는데, 이상하지 않나요?","Chẳng phải kỳ lạ sao, người đó từ trước đến giờ toàn tỏ ra như không thích phụ nữ trưởng thành?
"
451,저는 김수현이 한국에서 어떤 등급의 배우인지 물어보고 싶습니다.,"Tôi muốn hỏi Kim Soo Hyun là diễn viên hạng gì ở Hàn Quốc.
"
452,탑급이었습니다,"Đỉnh của chóp.
"
453,Top tier 1,"Bậc thượng thừa.
"
454,웃는 얼굴과 선한 눈빛을 하고 뒤에서는 수년간 그런 짓을.... 새론씨에게 왜 이런 시련이 왔는지 모르겠지만 주변에 도와주는 언니 오빠들이 조금이라도 있었다면 이런 일은 일어나지 않았을텐데... 김수현을 믿고 그 회사를 들어갔을텐데 정말 안타깝네요. 진실은 모르면서 새론씨에게 가시 돋힌 악플 단 자들도 모두 응당한 벌을 받기를!!,"Gương mặt tươi cười, ánh mắt hiền lành mà sau lưng lại làm những chuyện đó suốt bao năm.... Không biết vì sao Se-ron lại gặp phải thử thách này nhưng nếu xung quanh có những anh chị giúp đỡ dù chỉ một chút thôi thì đã không xảy ra chuyện này rồi... Chắc hẳn đã tin tưởng Kim Soo-hyun nên mới vào công ty đó, thật đáng tiếc. Những kẻ chưa biết sự thật mà đã buông lời ác ý cay độc với Se-ron cũng phải nhận sự trừng phạt thích đáng!!
"
455,김수현 신분세탁하고 연예인할거면 깨끗해야지 저버릇 어디못가는구만..김새론을죽인녀석 너도이제끝이구나 ..,"Nếu Kim Soo-hyun muốn tẩy trắng thân phận và làm người nổi tiếng thì phải sống trong sạch chứ, thói hư tật xấu đó không bỏ được đâu... Tên đã hại Kim Sae-ron, mày cũng đến đoạn kết rồi.
"
456,김새론얼마나절박했을까 김수현좋게봤는데 돈밖에모르는 속물이구나 돈도많으면서,"Kim Sae Ron đã tuyệt vọng đến mức nào... Tôi đã từng nghĩ tốt về Kim Soo Hyun, nhưng anh ta chỉ là một kẻ hám tiền. Anh ta đã có rất nhiều tiền rồi mà.
"
457,저는 김수현이 한국에서 어떤 등급의 배우인지 물어보고 싶습니다.,"Tôi muốn hỏi Kim Soo Hyun là diễn viên hạng gì ở Hàn Quốc.
"
458,"김수현 인생 파멸의 시작! 그 사람의 행동이 너무 타락해서 다른 사람의 아이들에게 정신적 피해와 죽음을 초래했기 때문에 거친 말조차 하지 않았습니다. 네 인생은 저주로 가득할 거야, 수현아!","Kim Soo Hyun, đây là khởi đầu cho sự hủy hoại cuộc đời mày! Hành vi của mày quá đồi bại, gây ra tổn thương tinh thần và cái chết cho con của người khác, nên tao thậm chí còn không thèm nói nặng lời. Cuộc đời mày sẽ tràn ngập những lời nguyền rủa, Soo Hyun à!
"
459,RIP,"An nghỉ nhé.
"
460,쓰레기라는 말도 쓰레기한티 미안할 정도다,"Đến nói là rác cũng thấy có lỗi với rác.
"
461,ai đó cho t xin đoạn nhạc khúc đầu với😢,cho xin đoạn nhạc khúc đầu đi mọi người ơiii
462,"Que esse homem responda na justiça todo o mal que ele causou nela. Ela era uma criança, nojento. No Brasil ele não é bem vindo! 🤢","Mong rằng người đàn ông này sẽ phải trả giá trước pháp luật cho tất cả những điều tồi tệ mà hắn đã gây ra cho cô bé. Cô bé chỉ là một đứa trẻ, thật kinh tởm. Hắn không được chào đón ở Brazil! 🤢
"
463,사실 이미 김수현의 생일과 똑같은 새론의 사망일부터 새론이 대배우와 관련해 무서운 억울함을 겪었다는 신호를 보내려는 것이 아닌가 의심이 들었다. 수현이에게 상을 주시길 바랍니다. 신은 잠들지 않으시며 조만간 죄를 벌하실 것입니다.,"Thực ra, tôi đã nghi ngờ rằng từ ngày mất của Sae Ron trùng với ngày sinh nhật của Kim Soo Hyun, có lẽ là một dấu hiệu cho thấy Sae Ron đã phải chịu một sự oan ức khủng khiếp liên quan đến một diễn viên hạng A. Mong rằng Soo Hyun sẽ được trao giải. Chúa không ngủ và sẽ sớm trừng phạt tội lỗi.
"
464,전연인이고 본인 소속사로 데리고왔으면 제대로 대우를 해줘야지 이제 쓸모없어지니 버리고 내용증명까지 보내고 김수현은 사람으로서의 도리도 저버렸네요.. 새론씨 미안합니다.. 억울함 이제 벗어던지고 편안히 쉬시길.... ㅠ,"Là người yêu cũ, lại còn đưa về công ty quản lý của mình thì phải đối đãi tử tế chứ, giờ hết giá trị lợi dụng thì vứt bỏ, còn gửi cả thông báo pháp lý nữa, Kim Soo Hyun đã vứt bỏ cả đạo lý làm người rồi... Xin lỗi Sae Ron... Mong bạn gạt bỏ hết uất ức và nghỉ ngơi thoải mái... ㅠ
"
465,연예인들 한테 돈을 너무 많이주니 더러운짓들만하고 역겹네,"Trả quá nhiều tiền cho đám nghệ sĩ nên chúng chỉ làm mấy trò bẩn thỉu, ghê tởm.
"
466,더러운 일부 연애인들 돈 적게줘라,"Lũ nghệ sĩ bẩn thỉu, bớt trả tiền cho chúng đi.
"
467,7억 날렸네 에효,"Mất trắng 700 triệu won rồi, haizz.
"
468,전지현은 또 충격이네 돈이 최고긴 하나보네,"Chun Ji Hyun lại gây sốc nữa rồi, đúng là tiền là trên hết mà.
"
469,Send him to jail,"Tống nó vào tù đi.
"
470,이건 너무 쓰레긴데 ..,"Cái này đúng là rác rưởi...
"
471,내가 가로세로연구소 를 응원할줄이야;;,"Không ngờ có ngày tôi lại cổ vũ Viện Nghiên cứu Dọc và Ngang...
"
472,김수현 이방송 보고있다 한표,"Tôi nghĩ Kim Soo-hyun đang xem chương trình này. Một phiếu.
"
473,김수현 처럼 눈이위로 치켜올라가있고 실눈이고 찢어져서 뱀눈 뱁새눈은 직장회사에서도 반드시 멀리하고 피해라ㆍㆍㆍ ㆍㆍㆍ ㆍㆍㆍㆍ ㆍᆢㆍ 주변사람 피말린다<br>진급도 계속 누락시키고 반드시 해고시켜라<br>명심해<br>저런  관상 눈빛은 과학이더라 40가까이 살다보니 !!!😂😊😊😂😊😂😊😂,"Những kẻ có tướng mắt xếch lên như Kim Soo Hyun, mắt ti hí, mắt rắn, mắt chim sẻ thì ở công ty, nơi làm việc nhất định phải tránh xa và né họ ra... ... ... ... ... ... ... Xung quanh họ sẽ bị hút máu đấy.
Nhất định phải loại bỏ khỏi danh sách thăng tiến và sa thải họ đi.
Hãy nhớ kỹ.
Tướng mạo và ánh mắt như vậy là khoa học đấy, tôi sống gần 40 năm mới nghiệm ra!!! 😂😊😊😂😊😂😊😂
"
474,남자로 마무리 처신이 안됏다.<br>늦게까지 결혼 안하는 스타들  다 뭐가 있어,"Đàn ông mà cư xử không ra gì khi kết thúc mối quan hệ.
Mấy ngôi sao mãi không chịu kết hôn đều có vấn đề cả.
"
475,전지현 화교라는데,"Tôi nghe nói Jun Ji-hyun là người Hoa kiều.
"
476,"진짜보이는게 다가아니구나.,.. 연예인들도믿을게못되노","Thật sự không phải cứ thấy là tin được đâu... Đến cả người nổi tiếng cũng không đáng tin nữa rồi.
"
477,아니 소송은 늦춰줄수있잖아 너무하다진짜,"Không phải có thể trì hoãn vụ kiện sao, thật quá đáng.
"
478,김수현 중국가면 사형당하나요 ㅋㅋㅋ 뿜었네요,"Kim Soo-hyun mà đến Trung Quốc chắc bị xử tử mất ㅋㅋㅋ phun cả cơm.
"
479,다음주 되기전에 다 말해 주세요~~~~,"Hãy nói cho tôi biết tất cả trước tuần sau nhé ~~~~
"
480,새론이 너무 안타까워 눈물이 난다...,"Thương Sê-ron quá, tôi khóc mất...
"
481,이제 봣네요 울컥하네 완전 나쁜놈이네,"Giờ mới xem, nghẹn cả họng. Đúng là đồ tồi.
"
482,아  인간말종!! 토사구팽후~인과응보라네~,"Ôi, đồ cặn bã! Bạc đãi xong vứt bỏ ~ Quả báo nhãn tiền!
"
483,What about 8 bombs case?,"Còn vụ 8 quả bom thì sao?
"
484,"김수현 다음주 입장발표 한답니다. 오늘 목요일인데 금, 토, 일 나흘동안  준비하나봅니다.","Kim Soo Hyun sẽ đưa ra thông báo vào tuần tới. Hôm nay là thứ Năm, có vẻ như anh ấy sẽ chuẩn bị trong bốn ngày từ thứ Sáu, thứ Bảy và Chủ Nhật.
"
485,"<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=5047"">1:24:07</a><br>“시진핑차오니마”는 중국어로 시진핑 ㅅㅂ 같은 욕을 하는 말이야 ㅋㅋㅋㅋㅋㅋㅋㅋ","<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=5047"">1:24:07</a><br>“习近平操你妈 (Xí Jìnpíng cāo nǐ mā)” trong tiếng Trung là một câu chửi rủa kiểu như ""Tập Cận Bình ㅅㅂ"" vậy đó, hahaha.
"
486,김수현 ㅉㅉ 원빈이랑 인성 차이 진짜 심하다. 아저씨에서 원빈이 수현이 못된짓한거면 응징 해줘라 아니 미성년 사귄걸로 말은 안한다만 어찌 돈도 많이 번 녀석이 채무 독촉해 여린애를 사지로 몰았냐..,"Kim Soo-hyun đúng là ㅉㅉ. Nhân cách khác xa Won Bin thật sự. Nếu là trong phim ""Ông chú"" thì Won Bin nên trừng trị những việc xấu mà Soo-hyun đã làm đi. Không nói đến chuyện hẹn hò với trẻ vị thành niên, nhưng sao một kẻ kiếm được nhiều tiền như cậu ta lại thúc ép nợ nần, đẩy một đứa trẻ yếu đuối vào chỗ chết vậy...
"
487,아저씨가 복수해줬으면..,"Chú à, mong chú trả thù cho con...
"
488,ㅋ,"ㅋㅋㅋ
"
489,No se por que presiento que a este le va a pasar peor que a ella por pedofilo waoooo es unicorns megastars mucho la imagine que tenía de el se me vi o al piso,"Không hiểu sao tôi lại linh cảm rằng gã này sẽ còn thảm hơn ả kia vì tội ấu dâm. Wow, Unicorns Megastars, bao nhiêu hình tượng tốt đẹp về gã trong tôi tan tành.
"
490,"Walau aku tidak ngerti artinya,, ahjussi aku dukung kamu❤","Dù tôi không hiểu nghĩa, nhưng chú ơi, tôi ủng hộ chú ❤
"
491,Buka @KoreaRoemit,"Mở @KoreaRoemit
"
492,7억으로 압박하고 기어이 죽게 만든 김수현..  인간이 참 나쁘다. 한 때 연인이였는데 벼랑으로 떠미냐.,"Ép buộc Kim Soo Hyun bằng 700 triệu won rồi nhất quyết đẩy người ta đến chỗ chết... Con người thật xấu xa. Đã từng là người yêu mà lại nỡ đẩy nhau xuống vực thẳm như vậy sao.
"
493,그를 한국에 보내서 군인으로 복무하게 하라,"Hãy gửi hắn ta đến Hàn Quốc và bắt hắn ta phục vụ trong quân đội.
"
494,김수현 잘 가라,"Kim Soo Hyun, đi vui vẻ nhé.
"
495,7억이란 돈 보단 새론양을 연예계에서 매장 시키려고 빚 안겨준거야😂😂,Đây không chỉ là vấn đề 700 triệu won mà là việc cố tình gài bẫy nợ nần để chôn vùi sự nghiệp của Sae Ron mà. 😂
496,그게 맞음  압박용,"Đúng vậy, để nén đó.
"
497,이방송 박수🎉🎉🎉훌륭합니다,Hoan hô chương trình này 🎉🎉🎉 Tuyệt vời ạ
498,"저놈 생일파티에서 즐기고 논 연예인들 공개해라,  누군지나 알고 있지😂😂😂","Công khai hết lũ nghệ sĩ đã vui vẻ ăn chơi ở tiệc sinh nhật của thằng đó ra, biết là ai rồi đấy nhé.😂😂😂
"
499,“Your birthday is my last day”,"""Sinh nhật của bạn là ngày cuối cùng của tôi.""
"
500,김수현 다음주에 입장발표한다는데<br>뭐라고할까? 과연 위약금을무냐안무냐<br>지금기로에 서있네,"Nghe nói tuần sau Kim Soo Hyun sẽ đưa ra thông báo chính thức.
Không biết anh ấy sẽ nói gì? Liệu anh ấy có phải chịu tiền phạt vi phạm hợp đồng không?
Giờ đang đứng ở ngã ba đường rồi.
"
501,김수현 넌 7억이란 금액은 7원밖에 안되는 껌 가치 아니냐 고 김새론 가지고 버리냐 이중인격자<br>넌 끝났다,"Kim Soo-hyun, 700 triệu won đối với mày chẳng khác nào cục kẹo cao su 7 won, giờ vứt bỏ Kim Sae-ron à, đúng là đồ hai mặt. Mày xong đời rồi.
"
502,God bless you ❤,"Chúa phù hộ bạn ❤
"
503,초등때 딸 같은반인데 조용하고 넘 착했어요 영화찍고 유명해져서도 착했어요  지금도 아파트 길에서  영화찍었냐고  애기할때  <br><br>수줍은 미소가 생각나요 ㅜ,"Hồi tiểu học con gái học cùng lớp, con bé rất ngoan và hiền lành. Sau khi đóng phim và nổi tiếng vẫn rất ngoan. Đến bây giờ mỗi khi có người hỏi ngoài đường ở khu chung cư là có phải con bé đã đóng phim không, tôi vẫn nhớ nụ cười bẽn lẽn của con bé ㅜ"
504,소시오패스네,"Đúng là đồ социопат.
"
505,나쁜 나쁜 놈,"Đồ tồi tệ.
"
506,예술가에게 윤리란 없다,"Không có đạo đức cho nghệ sĩ.
"
507,"<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=3505"">58:25</a> 듣다 듣다가 … 이모님 말씀하시는데 세의님이 자꾸 말 자르고 자기할말만 하는느낌이라 답답함 ㅠㅠ 이모님이 더ㅠ말씀하게 해줬었으면 하는 아쉬움이","58:25 Nghe đi nghe lại... Lúc dì nói chuyện, Sese cứ ngắt lời và chỉ nói điều mình muốn nói, thấy bực bội ghê ㅠㅠ Tiếc là lẽ ra nên để dì nói thêm chút nữa.
"
508,미국같으면 문형배 즉시 체포하고 감옥간다.,"Nếu là ở Mỹ thì Moon Hyung-bae đã bị bắt ngay lập tức và vào tù rồi.
"
509,"국민세금 5,700억원 끌어와 시진핑 기념관 세운 서울대학교 오세정 총장은 폐쇄할 마음없다고청문회서 말했다. 서울대학교는 박정희대통령이 세웠고 아무 기념관없다. 서울대 교수들, 학생들은 공산주의 시진핑 연구하며 나라를 중국에 넘기고있다. 중국 화웨이가 대한민국 선거를 운영하고 중국의 기술이 한국선거 결과를 결정한다고 미국 CPAC 슐랩회장이 전했다. 중앙선거 관리원은 중국인들 고용해 개표를맡겼다. 노령연금 받는 중국인 상반기만 100억이다. 한국 건강혜택받는 중국인 71만명 수백억원대 적자라고 매일신문이전했다. JTBC 가 중국텐세트에서 1000억원 받았다고 스카이데일리가전했다. 한국에 중국인 200만명 영향력 공작으로 2,3년내 중국의 자치구가 한국에 세워진다. 한국경찰청과 중국 공안부가 MOU 체결해 중국공안이 한국에서 한국인들 체포하고 사살할 수 있는 권한이있다.","Tại phiên điều trần, Tổng hiệu trưởng Đại học Quốc gia Seoul Oh Se-jung, người đã dùng 570 tỷ won tiền thuế của người dân để xây dựng nhà tưởng niệm Tập Cận Bình, nói rằng ông không có ý định đóng cửa nó. Đại học Quốc gia Seoul được Tổng thống Park Chung Hee thành lập nhưng không có nhà tưởng niệm nào cả. Các giáo sư và sinh viên Đại học Quốc gia Seoul đang nghiên cứu về chủ nghĩa cộng sản của Tập Cận Bình và giao đất nước cho Trung Quốc. Chủ tịch Schlaep của CPAC Hoa Kỳ cho biết Huawei của Trung Quốc đang điều hành cuộc bầu cử của Hàn Quốc và công nghệ của Trung Quốc đang quyết định kết quả bầu cử của Hàn Quốc. Ủy ban quản lý bầu cử trung ương đã thuê người Trung Quốc để phụ trách việc kiểm phiếu. Chỉ trong nửa đầu năm, số tiền lương hưu dành cho người cao tuổi Trung Quốc đã lên tới 10 tỷ won. Tờ Maeil Shinmun đưa tin có 710.000 người Trung Quốc được hưởng lợi ích sức khỏe của Hàn Quốc, gây thâm hụt hàng chục tỷ won. Sky Daily đưa tin JTBC đã nhận 100 tỷ won từ Tencent của Trung Quốc. Với 2 triệu người Trung Quốc ở Hàn Quốc và các hoạt động gây ảnh hưởng, khu tự trị của Trung Quốc sẽ được thành lập ở Hàn Quốc trong vòng 2, 3 năm tới. Cơ quan Cảnh sát Quốc gia Hàn Quốc và Bộ Công an Trung Quốc đã ký kết MOU, cho phép công an Trung Quốc bắt giữ và sát hại người Hàn Quốc ở Hàn Quốc.
"
510,중학생의 나이에서 시작해 인생의 1/4…<br>6년을 만나면서… 아버지도 부재인 새롬씨가 얼마나 의지했을지.. 오죽하면 그의 생일에 생을 마감했을까요ㅜㅜ,"Bắt đầu từ độ tuổi học sinh cấp 2, 1/4 cuộc đời...
6 năm quen nhau... Chắc hẳn Sae Rom đã dựa dẫm vào anh ta nhiều lắm vì bố cũng không có bên cạnh... Đến mức nào mà lại chọn kết thúc cuộc đời vào ngày sinh nhật của anh ta chứ ㅜㅜ
"
511,생일날 죽엇으면 말 다했지,"Nếu mà chết vào đúng ngày sinh nhật thì còn gì để nói nữa.
"
512,제발 어린 새론이의 원한을 풀어주세요.... 부탁드립니다.... 너무 슬프고 눈물만 나오네요....,"Xin hãy giải oan cho Kim Sae Ron khi còn nhỏ.... Tôi xin bạn đấy.... Tôi quá buồn và chỉ biết khóc thôi....
"
513,다음주 입장 발표 ㅋ<br>저러구 사귄게 아니라면<br>지나가던 개도 웃겠다,"Tuần sau ra thông báo nhập hội ㅋ
Nếu thế này mà không hẹn hò thì
Chó đi ngang qua cũng phải cười.
"
514,"이거보면서 느끼는게 그냥 죽은 고인이 안타깝다 생각이든다.. 지금 김수현이 몰매당하고 있지만, 만약 고인이 살아계셔서 이 사실이 밝혀졋더라면 고인이 몰매당했을꺼같고, 이런남자 만난 니가잘못이고, 음주운전한 니가 잘못이라며 오히려 채찍질 당했을같다.. , 돈보고만낫을꺼라 등등 ..  김수현 여자로 낙인찍혀 더 힘들었을꺼같고,,그래서 더 사람들한테 못 알렸을꺼같고, 혼자 다 짊어지고 가셧다는 생각에 안타깝다 😢..다음생엔 옆에 꼭 좋은 부모 좋은 남자 좋은 어른 만나시길 …그래도 가세연 존나 믿을게 못되는 채널이긴한데 이번 껀 잘한듯👍","Xem cái này mà tôi chỉ thấy tiếc thương cho người đã khuất... Bây giờ Kim Soo Hyun đang bị chỉ trích, nhưng nếu người đã khuất còn sống và sự thật này được phơi bày, thì có lẽ người bị chỉ trích lại là người đã khuất, và người ta sẽ nói ""Cô sai vì đã gặp loại đàn ông này, cô sai vì đã lái xe khi say rượu"" và chỉ trích cô ấy thậm tệ... rồi còn nói cô ấy chỉ quen vì tiền, v.v... Kim Soo Hyun có lẽ đã bị gắn mác là ""gái"" và còn khó khăn hơn nữa, có lẽ vì vậy mà cô ấy đã không thể nói với ai, và tôi thấy tiếc thương vì cô ấy đã phải gánh chịu tất cả một mình 😢... Mong rằng ở kiếp sau, cô ấy sẽ gặp được những người tốt bên cạnh như cha mẹ tốt, người đàn ông tốt, người lớn tốt... Dù sao thì kênh Ga Se Yeon cũng không đáng tin cho lắm, nhưng lần này thì làm tốt đấy 👍
"
515,방송에서도 자꾸 자기가 아저씨라고 88애들한테 그러드만.. 능구렁이,"Trên sóng cũng cứ nhận là chú bác với mấy đứa 88er hoài... đúng là cáo già.
"
516,영혼을 판 김수현...,"Kim Soo Hyun bán cả linh hồn...
"
517,김수현은 미국못가겠네? ㄷㄷㄷ,"Kim Soo Hyun chắc không sang Mỹ được rồi? ㄷㄷㄷ
"
518,마음이 먹먹 군요~,"Thật nghẹn ngào.
"
519,1시간 18분 부터..... 중국에 영혼을 판 작자들 지겹다 돈에 팔린 중국스타 2명.....왕지현과 김수현,"Từ 1 giờ 18 phút..... Mấy cái đứa bán linh hồn cho Trung Quốc chán ngắt. 2 ngôi sao Trung Quốc bị bán rẻ vì tiền..... Jeon Ji-hyun và Kim Soo-hyun.
"
520,리그오브레전드 하는중인데 이게레전드구나…,"Đang chơi Liên Minh Huyền Thoại, và đúng là huyền thoại thật...
"
521,"새론이가 다른데가서 뜨면 지가 구린게 밝혀질까봐, 그렇게되면 모든게 끝나니까, 옆에끼고 가스라이팅, 일부러 담글려고 계속 밟은거네~아효~새론이가 불쌍하네 에효~","Nếu Sae Ron mà thành công ở chỗ khác thì sẽ lộ ra cái sự kém cỏi của ả, mà nếu vậy thì mọi thứ sẽ chấm dứt nên ả mới giữ khư khư bên cạnh, thao túng tâm lý, cố tình dìm hàng để vùi dập con bé hoài~ Haizzz~ Thương Sae Ron quá đi thôi, haizzz~
"
522,Si destruyó a una mujer...que él también las pague..subió como pluma y bajo como plomo..en mi país se le dice HDP,"Nếu hắn ta hủy hoại một người phụ nữ... thì hắn ta cũng phải trả giá... lên như lông hồng và xuống như chì... ở đất nước tôi, người ta gọi hắn là Đồ khốn.
"
523,와... 진짜 대단하네요. 고소당하실수도 있는데... 와 내용 진짜 쩌네요. 정말 유튜버 맞아요??? 유튜버 급이 아니신데요? 진짜 진정  참언론인이시네요;;;;<br><br> 근데 왜 대통령 어쩌고가 있어요? 김수현 부분만 따로 때서 올리면 정말 좋을것 같아요.,"Wow... Thật sự quá đỉnh. Có thể bị kiện đó... Wow nội dung đỉnh thật sự. Có chắc là YouTuber không vậy??? Đẳng cấp này không phải YouTuber rồi? Thật sự là nhà báo chân chính mà;;;;

Mà sao lại có cái vụ tổng thống gì đó vậy? Chỉ đăng riêng phần của Kim Soo Hyun thôi thì sẽ hay hơn nhiều đó.
"
524,나도 자식을 키우지만..도저히 용서 못 한다!!,"Tôi cũng nuôi con nhưng mà... không thể nào tha thứ được!!
"
525,사람이 아니무니다,"Đây không phải là người.
"
526,썩은 동아줄이라도 잡고 살려고 했던거같은데 ..<br>어리고 예쁜데 ..참 ..,"Chắc là đã cố gắng bám víu vào sợi dây thừng mục nát để sống sót...<br>Còn trẻ và xinh đẹp nữa chứ... thật là...
"
527,뭐가 진실일까 ..<br>여튼 더 느낀다 ..<br>귀신보다 사람이 무섭다,"Cái gì mới là sự thật đây...
Dù sao thì cũng cảm nhận được nhiều hơn...
Người đáng sợ hơn cả ma quỷ.
"
528,살인자다.,"Kẻ giết người.
"
529,원조교제 범죄자! 새론양을 죽게한 살인자! 평생 천벌받으며 살아라,"Thằng tội phạm mua dâm trẻ vị thành niên! Kẻ giết người đã hại chết Sae Ron! Cả đời sống trong sự trừng phạt của trời đi.
"
530,이모든걸 다 끌어안고 목숨을 버린 새론양...<br>얼마나 힘들고 아팠어요?<br>저세상에서 편안하게 지내요<br>살아있는 놈은 이세상 사람들이 꼭 벌줄게요,"Ôm hết mọi thứ này rồi bỏ mạng, Sê Ron à...<br>Đã khó khăn và đau đớn đến mức nào?<br>Ở thế giới bên kia hãy an nghỉ nhé<br>Những kẻ còn sống, người trần mắt thịt nhất định sẽ trừng phạt chúng.
"
531,보다가 눈물이 나서 더이상 못보겠다 너무 마음이아파 제발 그러지마 진짜,"Xem mà rơi nước mắt, không xem tiếp được nữa, đau lòng quá. Xin đừng như vậy mà, thật đó.
"
532,나좀 살려줘 한다. 수현아...꼭 그렇게 했어야 했니?,"Cứu tôi với. Soo Hyun à... nhất thiết phải làm vậy sao?
"
533,수현아. 인간이 먼저 되어라. 새론이 불쌍해서 어떡해...,"Su Hyun à. Hãy làm người trước đi đã. Sao mà thương Sae Ron quá vậy...
"
534,english sub pls,"xin vui lòng cho phụ đề tiếng Anh
"
535,망할 연에인 광고 전부 사라져야 한다...,"Mấy cái quảng cáo của đám người nổi tiếng chết tiệt biến hết đi thì hơn...
"
536,가세연 스텝분들 노고에 감사합니다.,"Cảm ơn sự vất vả của đội ngũ Gaseyeon.
"
537,가로세로 진짜 멋진방송.최고<br>탄핵절대반대. 친중.종북세력 색출하여 계몽령으로 국민들 공부하게 해주신 윤통령 재집권해 공산당을 완전히 멸공해야 합니다.,"Garo Sero, chương trình tuyệt vời. Tuyệt nhất.
Tuyệt đối phản đối luận tội. Yêu cầu lùng bắt các thế lực thân Trung Quốc, theo chủ nghĩa thân Triều Tiên và ban bố lệnh khai sáng để người dân học tập. Tổng thống Yoon cần tái đắc cử để tiêu diệt hoàn toàn đảng cộng sản.
"
