ID,Comment Text,Token Count,Label
1279,Thế cái ảnh là sao nhỉ,6,Trung lập
1280,mà người nhà lại chắc là có và kể đúng ngày quen ngày chia tay,15,Trung lập
1281,Luật sư Baek đã căng,6,Không liên quan
1282,tao thấy liên quan gì đâu ta bên đó kiểu lúc nào cũng cái kiểu này khi sống thì vùi dập người ta khi mâ.tao thì làm kiểu như thương yêu lắm. bản chất ví dụ như có quen tao chả thấy cái lên an là gia đình của bà kia chứ liên quan gì ông này,62,Trung lập
1283,Có thằng nào tốt,4,Trung lập
1284,Ngô diệc phàm cũng từng khởi kiện á,9,Không liên quan
1285,"ý thấy là mất rồi, dùm yêu trước yêu sau cũng là 2ng yêu nhau, chia tay rồi thì thôi, giờ mất rồi làm lùm xùm, người sống thì không yên, người mất rồi thì ở được yên nghỉ",52,Trung lập
1286,"mong là ổng liêm, chứ mà có gì 1 cái thì -1 anh chồng",16,Trung lập
1287,"Tao thấy kiểu bả như Fan Girl của ổng ấy, rồi cho rằng ổng cũng có tình cảm vậy, xong gia đình lợi dụng bả nữa, tâm lý không ổn ấy, nhiều người như vậy rồi ai tốt với họ, họ cho rằng nta yêu họ ấy.",58,Trung lập
1288,Từng thích anh nhưng em tin nó là thật. Không chuẩn 100% thì cũng 70-80% là sự thật,19,Không ủng hộ
1289,Mà sao mọi người không hiểu lắm ý là anh cho nợ 700 trời xong ảnh đòi lại nên sae ron gặp khó khăn tài chính tự sát hả mọi người,32,Trung lập
1290,"nam mô, tao tin ảnh không phải người như vậy",11,Ủng hộ
1291,Tôi lại tin idol Beak của tôi,8,Trung lập
1292,tao lóp dép hóng. tao thấy cũng bình thường quen người lớn hơn tuổi cũng có sao đâu. tao thấy bên đó cũng thoáng mà. mà có pải ép đâu tự nguyện. còn mượn thì pải trả. còn quen trước 18 còn này lúc matroi là hết quen lâu rồi mà cũng lôi người ta vô. ba mẹ thì con đã vậy mà cũng không để nhõ yên nghĩ để người ta dòm ngó nữa,90,Trung lập
1293,tao sẽ không hâm mộ bất kì ai nữa,9,Không liên quan
1294,"tao cũng không tin anh ta hẹn hò với bà kia đâu, với cả vụ vay tiền nữa, vay thì pải trả, 1 nghìn cũng phải trả chứ huống chi 12 tỷ. Với cái thời đó anh ta cũng khó khăn mà cho mượn tận 12 tỷ thì quá tốt rồi đó",59,Ủng hộ
1295,fan bê tông vẫn tin ảnh,6,Không ủng hộ
1296,Chết rồi nói cái cái quái gì chat được,9,Không ủng hộ
1297,ê chị ấy mất rồi làm ơn để chị yên đi mà,12,Không ủng hộ
1298,"để im cho người sống sống yên , người mất ngủ yên .",13,Trung lập
1299,ê ý là Kim Sae Ron thì đã mất rồi còn Kim Soo Hyun thì đang trg giai đoạn sự nghiệp phát triển mà mấy cái nhà báo lá cải kia cứ đăng mấy cái thông tin kia lên để dập tắt sự nghiệp của Kim Soo Hyun hả,51,Không ủng hộ
1300,thic hóng biến nhưng mà chả hiểu gì :>,10,Trung lập
1301,ai còn nhớ vụ mấy trái bạn.o.mày rơi nhầm nhà dân không ta..,17,Không liên quan
1302,"lúc người ta sống thì nói người ta, lúc đi rồi thì bênh vực, đòi lại công bằng các kiểu",24,Không liên quan
1303,"Một bên chết rồi không yên, một bên chết rồi không chịu tha",15,Không ủng hộ
1304,mắc đồn ác ý quá,5,Không ủng hộ
1305,15 tuổi mà quen được anh đtrai dị tao cũng quen nha,13,Không ủng hộ
1306,"Làm sao làm mà làm từ nạn nhân biến thành kẻ khó được cảm thông thì nên coi lại, nhìu lúc người sống ở lại người ta làm vậy, cũng chỉ vì người ra đi không còn lo được cho họ, vì tiền =",50,Không ủng hộ
1307,Ngoan cố! Sao cản được quả báo nhãn tiền,10,Không ủng hộ
1308,"Đung rồi mọi người oi, người đàng hoàng ra toà nói chuyện chứ đi livetream kiểu để nentizent vô nhấp chìm ảnh bằng những lời nói ác ý làm gì ... bên phía gia đình Kim sae ron không tôn trọng con gái và toàn lời nói xấu xàm",58,Ủng hộ
1309,"Tư bản anh mạnh mà. Nhân viên thuận anh thì anh cho đè tin 6 xuống không thì anh đẩy tin lên,nhìn nhân viên cũ là biết.Riêng vụ này lớn quá anh cần có thời gian.",43,Không ủng hộ
1310,"kiện luôn , thương con bé ..... không được yên . Gia đình cô gái ấy thật",17,Không ủng hộ
1311,Nghiệp quật anh,3,Không ủng hộ
1312,Tôi hy vọng sự thật là chưa từng hẹn hò vì như thế tôi cảm thấy bớt đau lòng thay cho cô bé ấy,24,Trung lập
1313,Gia đình chị ấy tệ thật sự vừa mất là lôi ra làm drama không để chị ấy yên nghỉ 1 thời gian thật sự :,26,Trung lập
1314,trước khi còn chưa đủ 18t yêu đương gia đình không ý kiến gì. bjo chia tay nhau rồi tự dưng khơi ra. định kiếm 1 khoản tiền từ anh này đây,37,Không ủng hộ
1315,Đầu năm lắm drama khung bo cả thgioi,10,Không liên quan
1316,Idol đóng phim tổng tài thì hài khỏi chê. Đóng giang hồ thì ngầu phết,16,Không liên quan
1317,"hơn cả penthouse nữa,bóc tiếp đi mọi người ơi,tao mới đi hóng có liên quan tới Son Ye Jin,trời ơi đụng tới chị pé tao nữa,sock thiệt chứ",42,Không liên quan
1318,Cha mẹ bé kia cũng không vừa đâu nhỉ con vừa mất đã như này,15,Trung lập
1319,sao thấy cch đâu lòng thế tao không phải idol ai cả cũng từng xem qua fim em ấy đóng lúc nhỏ sao đó tui không còn theo dõi và biết em nữa. giờ biết cuộc đời em thật sự kim sae ron mong em mau sthoat mong có kiếp sau chỉ mong em kimsaeron có được gđinh thật sự hp 1 Tinhyeu hp được yêu thương che chở cho em,83,Trung lập
1320,"lúc sống không lặt mặt đâu, đợi bả mất rồi mới tiếc nuối lôi chuyện lại nói, tội bả",25,Không ủng hộ
1321,"Nói chung chỉ có người trong cuộc mới biết được. Ngoài chuyện sinh tử do số phận tai nạn này kia thì không ai có thể ép được. Nếu đã chọn tự sát thì là lựa chọn của bạn, mong bạn yên nghỉ.",48,Trung lập
1322,"thuê luật sư Vincenzo đi 15 tuổi 2 bên tự nguyện yêu nhau cái tụi nó khẳng định là ấu dâm, ""ấu dâm tận 6 năm cơ + 3 năm chia tay là 9năm mà không kiện"" giờ mất thì gia đình đi kiện có bằng chứng thì đưa vks và ca đi là bên đoa họ sẽ tự mở vụ án khởi tố và đến bế đi liền được mà chứ cứ tung bằng chứng không trọng điểm mập mờ với báo chí không. đưa bằng chứng cho cho phía vks với cs thì không đưa cứ đưa báo chí là sao",115,Không ủng hộ
1323,mọi người theo phe nào đông nhất vậy ạ để mình bình thường mình hùa theo ạ chứ mắc công quê nữa,22,Trung lập
1324,Cho mình hỏi là nếu quen nhau thật thì qhtd ở độ tuổi trẻ như vậy nhưng với tinh thần tự nguyện thì Kim soo hyun vẫn bị kiện ạ?,33,Trung lập
1325,Kim bài miễn tử,4,Không liên quan
1326,"Đề nghị Kim Soo Hyun tự sát để chứng minh mình trong sạch. Xuống đó gặp Kim sae ron 3 mặt 1 lời làm rõ đầu đuôi câu chuyện. Nếu anh bị oan hãy báo mộng cho G-DRAGON, chúng tôi sẽ tổ chức cầu siêu quy mô quốc tế để đưa anh trở về tiếp tục đóng phim. Anh men di đà phật",73,Không ủng hộ
1327,hên quá tao coi phim chứ tao hổng thần tượng ai hên hơn nữa là tao chưa bao giờ coi phim của cha này vì không hợp gu và thấy seeding hơi lố,35,Trung lập
1328,Biện minh mà dối trá tối c ấy về kím mày khỏi ngủ nhe,16,Không ủng hộ
1329,"Thì vd nếu có quen thiệt thì ô chỉ có lỗi là quen trẻ dưới tuổi vị thành niên, lúc quen thì lo hết, bả gây ra chuyện, công ty cho mượn thì khi hết quen, phải trả nợ cho công ty chứ,",55,Ủng hộ
1330,:ooo,3,Không liên quan
1331,Nhiều người tiêu chuẩn kep nhỉ.ý là nợ tiền không trả cái tự sát xong chủ nợ vừa mất tiền vừa bị tiếng ác. Thôi thì tiền ai nấy giữ không cho mượn gì hết nha. Còn vấn đề tc thì chuyện cá nhân họ thôi,53,Trung lập
1332,trời ơi anh cúu ảnh cái di,8,Không ủng hộ
1333,giờ có chuy tố quan hệ với trẻ vị thành niên không nhỉ,14,Trung lập
1334,quen nhau hết tình cảm thì chia tay thôi. sao phải bắt buộc người khác phải ở bên cạnh người mình không còn tình cảm. nhiều khi cô gái đó quá lụy tình nên tự sát rồi phá sự nghiệp của anh này thì sao.,49,Ủng hộ
1335,youtube 가로세로연구소 đang live ai vào dịch đi,14,Không liên quan
1336,sao rồi mọi người 5 rưỡi rồi,7,Không liên quan
1337,"Sao đó giờ hog phốt, giờ cô bé đó mất sợ trả tiền hay sao phải phốt",20,Không ủng hộ
1338,nhanh coi cho tao hóng,5,Trung lập
1339,Tao không quan tâm ai yêu ai. Điều tao quan tâm là tại sao 1 sao nữ độ tuổi đó lại để bản thân say xỉn gây tai nạn rồi phải sống trong cảnh nợ nần. ??,41,Không liên quan
1340,Matroi cũng không yen,6,Không liên quan
1341,"Ê ý là quen nhau nhau với người nổi tiếng tới mình cũng bình thường thì không có cớ gì gia đình bên đó không bình thường cả chỉ là họ vẫn chấp nhận cho 2 người hẹn hò miễn không làm gì vượt quá giới hạn là được mà?? Còn nợ vẫn phải trả thôi cho mượn chớ có cho luôn người yêu cũ chứ có phải nhà hảo tâm đâu nhỉ?? Sống không hp với nhau nữa hết duyên thì chia tay chứ , giờ người nhà lục lại để kiện ông này trên tội danh quen người dưới 16 tuổi đổ hết lỗi lên ông này mà bình thường làm người nổi tiếng rồi chỉ cần 1 lỗi nhỏ hoặc sơ xuất thôi là chuyện bé xé to liền đối với ở mình yêu đương 15-16 tuổi cả đống ngoài kia nm người bình thường sao so với người nổi tiếng thế giới nhỉ?? Túm quần lại lỗi là người nhà chết rồi cũng không để bả yên ổng chia tay từ hồi 2021 rồi tới đây 4 năm rồi cũng không tha",195,Trung lập
1342,Người mất rồi cũng hk tha tao sợ cái Cộng đồng mạng này lắm rồi á . Sợ con người sống hơn sợ ma nữa,26,Trung lập
1343,"Không fan ai nhưng thắc mắc quen 6 năm mà bọn paparazi nó không phát hiện thì thấy lạ,mới liếc mắt phát là nó cho lên tạp chí rồi chớ nói gì tận 6 năm",40,Trung lập
1344,"Hình ảnh gõ gàng còn chối, đúng là tréo trở như luật sư",17,Không ủng hộ
1345,Cho dù là ông này quen bé đó lúc bé đó 15tuoi thì cũng kì thật. Nhưng phải chăng gia đình thấy ông này nổi tiếng nên đồng ý cho qua lại không?,38,Trung lập
1346,nhà hiền triết người Trung cũng từng kiện á,9,Không liên quan
1347,"Chú cứu mom bắp, pt, ql, hdm, tt một mạng",18,Không liên quan
1348,mình không tin,3,Trung lập
1349,Kim Soo Hyun hiện là tài tử giàu nhất làng giải trí Hàn Quốc với khối tài sản lên tới 117 triệu USD. Mỗi phim thù lao lên đến 65 tỷ đồng. Mà lại đi đòi 12 tỷ cho bạn gái 6 năm lúc cô ấy khó khăn nhất?,53,Không ủng hộ
1350,tiền đó là người ta cũng làm ra công sức của người ta mà giàu hay nghèo gì có giàu cũng đòi cho vay chứ đâu cho luôn,28,Trung lập
1351,"Tài sản 2000 tỷ vnd tương đương 117 triệu USD mà phải đi siết nợ bạn gái 12 tỷ vnd trong lúc cô ấy mất việc, mất nguồn thu nhập, khó khăn cùng cực nhất???",44,Không ủng hộ
1352,khi kết thúc mới đòi. chứ không phải lúc bà này khó khăn do bị phong sát là đòi đâu,22,Trung lập
1353,Bạn lên kenh14 mà đọc. Lúc dí giấy nợ là lúc Kim sae ron đã kiệt quệ kinh tế và không còn gì để trả nợ nữa. Lúc đó kim sae ron đã gọi cho người yêu cũ để hỏi có đúng không thì bị anh ta chặn số.Cô ấy cũng tự sát vào sn người yêu,66,Không ủng hộ
1354,"Cái vấn đề là tài sản của ảnh gấp chục lần số nợ ấy anh bạn, có nghĩa là ảnh không có phải đang cần số tiền đó cho lắm nhưng phải đòi cho bằng được khi Kim sae ron khủng hoảng kinh tế và không có đóng được phim nhiều á. Nếu theo dõi thì sẽ biết khoảng sau thời gian hai người chia tay Kim sae ron ít hoạt động nên chuyện trả nợ không phải dễ dàng. Vând đề chính có nghĩa là ảnh làm khó bạn ấy, trong khi số tiền đó ảnh không có thật sự cần liền bạn hiểu không?",118,Không ủng hộ
1355,Còn muốn hiểu sâu xa hơn thì đợi khi nào bạn là cái người bị người mà mình yêu thương tin tưởng nhất đối xử như vậy khi khó khăn đi rồi bạn sẽ hiểu thế nào là lòng người bạc bẽo,42,Không ủng hộ
1356,Không Biết mọi chuyện sẽ như nào.Nhưng Kim...chọn ngày mất đúng sinh nhật Kim Soo Hyun thì cũng không hề đơn giãn.,27,Trung lập
1357,"Thật, không bình thường đâu",7,Trung lập
1358,Lúc này tao cũn thấy không đơn giản,9,Trung lập
1359,"12 tỉ lận mà, cho mượn thì đòi lại thôi sao lại thành ra phải tội thế nhỉ",19,Trung lập
1360,"tao nghĩ chắc đòi lúc cả đang bị scandal, đang phải trả nợ hợp đồng với đền thiệt hại, nên bị nói ý",28,Trung lập
1361,Thù hằn gì mà tới mức đó ảnh cũng đâu tới mức thiếu tiền,15,Trung lập
1362,Bà này scd cả đời bao giờ cho hết mà không đòi. Mà người ta cho mượn chứ cho luôn đâu mà,25,Trung lập
1363,"ý mình là đòi lúc người ta túng thiếu quá ý, chắc cũng sợ bả không trả được, nm lúc túng thiếu vậy mà người yêu đối xử thế thì u uất thật",35,Không ủng hộ
1364,ủa chứ cứ không thiếu tiền là vung 12tỷ như chơi hả giờ tao cho vay 12k tao còn đòi = được nữa là 12tye,29,Không ủng hộ
1365,Mày đọc lại tiểu sử của ổng chưa diễn viên có catxe cao ngất ngưởng mấy cái đấy đáng gì,22,Không ủng hộ
1366,"bả tự sát ngày sinh nhật ổng mới đáng suy ngẫm á , sợ ông này không hiền như ổng thể hiện !",23,Không ủng hộ
1367,"chả hiền gì cả đâu, từ lúc bà Kim sae ron mất tới giờ tao không tin ổng nữa lun",24,Không ủng hộ
1368,"Ai mượn tin? Cho mượn tiền thì đòi lại chứ phải cho không đâu mà giờ tố, chia tay rồi thôi chứ phải ổng hại Kim Sae Ron hay gì, gia đình Kim Sae Ron mới đáng sợ á, giờ đổ lên đầu Kim Soo Hyun",53,Ủng hộ
1369,"Cho mượn đòi lại là đúng, nhưng yêu mắc gì chối",13,Không ủng hộ
1370,"Nhưng mượn là phải trả mà, cũng chả có gì sai cả",13,Trung lập
1371,"Nhưng mà quen trẻ vị thành niên, ông đó dù gì cũng quen 6 năm mà mất không đến viếng, nghe đau lòng",28,Không ủng hộ
1372,"Đúng rồi ấy, nợ thì phải trả nhưng cái đáng trách ở đây á là ổng yêu vị trẻ thành niên ấy",24,Không ủng hộ
1373,"Có luật không được yêu hả mẹ, nói cái gì vậy: có qhtd không? Mà nói không được yêu này nọ",28,Trung lập
1374,ý là mấy chuyện khác thì không biết chứ mượn thì phải trả là chuyện bình thường mà????,22,Trung lập
1375,"Có vay có trả là lẽ hiển nhiên mà, yêu thì yêu chứ mượn là nên trả nào cho đòi thì mới đáng lên án bà ha , còn về chuyện tình thì tui không nói tới vì không phải người trong cuộc",44,Trung lập
1376,"Đúng đó bạn, sống tự trọng lên đi chời. Tiền mượn người yêu thì phải trả, chừng nào người ta cho mình xài mà người ta đòi lại thì mới đáng nói. Huống chi người yêu cũ nữa, còn yêu gì mà nghĩa với tình, vậy là cũng tử tế rồi",62,Không ủng hộ
1377,"Người ta đã vô bước đường cùng rồi , ép người ta vậy đó",14,Không ủng hộ
1378,Vấn đề là 12tỷ lận đó mấy má.. cũng hết lòng lắm mới dám cho mượn 12tỷ… ngay cả gia đình máu mủ còn chưa chắc đã dám cho mượn kiểu đó,36,Trung lập
1379,"12 tỷ đối với bạn là nhiều, chứ với ổng ở đây chắc bằng cái đồng hồ của ổng. Đúng là tiền nào cũng là tiền nhưng ở đây là cái TÌNH NGƯỜI của ổng",40,Không ủng hộ
1380,"hết yêu chia tay đồi tiền đã cho mượn cũng có siết nợ gì đâu mà tự đầu con kia drama nhậu nhẹt đụng xe là của nó mà nhỉ người ta cho mượn 12 tỉ không lãi nhấn mạnh 12 tỉ , ổng giàu nghèo gì không biết nhưng mà nửa triệu đô vẫn là số tiền lớn",59,Ủng hộ
1381,tình người thì không trả à,6,Không ủng hộ
1382,12 tỉ nói rõ cho mượn mà nhiều đứa coi tiền như lá đa nhỉ,15,Không ủng hộ
1383,"Vđ là 12ty tiền vn á anh. Còn tiền Hàn có là bao , trong khi Kim soo hyun tài sản ròng anh biết bnhiu không ? Ai lại đi siết người mình từng yêu vào cái hoàng cảnh khủng hoảng kinh tế như vậy hả anh?",53,Không ủng hộ
1384,nói như má thì mượn tiền người giàu là mày cần trả hả,13,Không ủng hộ
1385,tâm thư để lại rõ ràng vậy cmay còn bênh:,13,Không ủng hộ
1386,"Giờ nó tự sát, như là cả thế giới có lỗi bới nó, nói gì mà chả được",21,Không ủng hộ
1387,chứ mắc gì phải đúng mádu nha: người ghét ông Kim Soo Hyun mua chuộc người thân làm giả cái đó vẫn được mà:? chẳng lẽ lúc tao chết tao để tâm thư con tao ghét giết người này người kia cũng thật má,48,Không ủng hộ
1388,Nhiều khi bạn nữ muốn kéo bạn nam xuống.tiền đó thuộc dạng công ty đầu tư cho nhân viên khi kết hợp đồng công ty đòi lại thôi .kiểu phải đền bù hợp đồng ý,38,Trung lập
1389,Kim soo hyun không trong sạch nhưng Kim sae ron cũng không phải là bông tuyết. Nếu đúng là chia tay năm 2021 thì đã qua 4 năm rồi còn lụy dây dưa chi vậy?,40,Trung lập
1390,Ủa chia tay đòi nợ chứ có đòi quà đâu? Nợ trả hợp lý mà. 12tỷ chớ không phải 12tr mà mấy mệ nhảy đựng đòi người ta phải cho luôn nhé.,40,Trung lập
1391,"ê không bàn những vụ khác, nhưng nợ thì người ta đòi chứ tố người ta gì trời, 12ti chứ có phải 12tr đâu, tiền của người ta cũng công sức lao động của người ta mắc gì không được đòi mà đi tố, gđinh nhà gái cũng kì á",61,Không ủng hộ
1392,rồi anh tao đang trong sạch luôn á,8,Ủng hộ
1393,"Không có bông tuyết nào trong sạch í nghe từ nhiều phía để biết rõ đi bạn, nhìn bài đăng trên ig đến lúc bà này tự sát đều có ẩn ý liên quan tới Kim soo hyun",40,Không ủng hộ
1394,Ủa sao bàn tán ta?? Mượn thì phải trả chứ ạ??,16,Trung lập
1395,"Tao không bênh ai nhưng nợ thì pải trả,nta đòi là bình thường,ai bị nợ mới biết đòi mà n còn chửi ngược lại cũng có,xong lại bảo chủ nợ không ra gì cũng có",44,Trung lập
1396,Chia tay Kim Soo Hyun lên tiếng rồi nha,9,Trung lập
1397,"Công ty nó thì phủ nhận là đúng, gà đẻ trứng cho Công ty mà, tiền catxe cả đống, có khi dùng tiền để bịt miệng nhà báo ấy chứ, không có gì trong sạch cả",43,Không ủng hộ
1398,Cho vay chứ có phải cho luôn đâu,8,Trung lập
1399,Thật ở VN thì có Ttb ở Hàn thì có ô này. Cho vay thì phải trả chẳng nhẽ cứ yêu nhau xong trốn nợ,28,Trung lập
1400,"Sae Ron nói với dì nè: “Anh ấy không yêu cầu trả lại, nhưng con sẽ cố kiếm tiền trả lại anh ấy”. Nên vụ đòi tiền con bé không biết là Kim soo hyun hay anh trai của Kim làm",50,Trung lập
1401,"Tự nhiên cho mượn tiền, vừa mất tiền vừa mang tiếng. Còn bị tố vì đòi tiền nữa, tiền người ta làm ra người ta đòi thì sai chỗ nào. Gia đình kia hài thật đó...",43,Ủng hộ
1402,"Chắc gia đình muốn làm rùm beng để kiếm thêm tiền thôi, chứ Công ty ứng trước khoản đó từ 2022, đến 2024 mới bắt đầu yêu cầu trả. Có phải đòi liền đâu mà đổ lỗi. Khổ thân Kim soo hyun đã tốt còn dính mang tiếng",55,Ủng hộ
1403,"Đúng kiểu chí phèo cào đồ ăn vạ, nếu có quen thật thì sao không ý kiến từ lúc mới quen đi. Để tận 6n giờ người mất xong rồi thì tòi ra bà Dì nào đó gào lên ăn vạ.",46,Không ủng hộ
1404,Sao hạng Anh của Hàn 12 tỉ đủ tiêu vặt à,11,Không liên quan
1405,Trời ơi vậy là có hẹn hò mà bày đặt chối ha con bé nó tự sát ngay ngày sinh nhật anh là đủ hiểu nó đau vì anh như thế này rồi,33,Không ủng hộ
1406,"không hiểu mấy má bị cuồng hay gì 12 tỷ mà không cho người ta đòi mấy má có 1 trời cũng còn đòi nữa là 12 tỷ, yêu nhau họ chối không sai gì hết chia tay rồi phải trả chắc chắn Kim Soo Hyun cũng bị dính vô vụ này",53,Không ủng hộ
1407,Ông này còn không coi trọng tình nghĩa dù gì cũng là chủ công ty của con bé không đến viếng đám tang nữa mà,25,Không ủng hộ
1408,tôi thấy ông sợ bị dây vào thị phi vì năm ngoái bả đăng ảnh chung với ổng,18,Không ủng hộ
1409,"Sae Ron nói với dì của ẻm: “Anh ấy không yêu cầu trả lại, nhưng con sẽ cố kiếm tiền trả lại anh ấy”. Nên vụ đòi tiền con bé không biết là Kim soo hyun hay anh trai của Kim làm",51,Trung lập
1410,ê không bình thường đúng sai như nào nhưng dù kimsoohyun có giàu như nào nhưng mượn là mượn lúc không còn là gì của nhau thì đòi là đúng 12 tỉ chứ ít gì mà không đòi,41,Không ủng hộ
1411,tao lúc nào cũng về phe bà Kim Sae Ron cả,12,Không ủng hộ
1412,vậy làm giống đi,4,Không liên quan
1413,"Người yêu mà ,,, nợ gì trời",9,Không ủng hộ
1414,"Chia tay 4 năm rồi ,người yêu cũ nó bên ngoài còn muốn giết mẹ luôn ý chứ đòi nợ là cái gì",24,Trung lập
1415,Ủa mọi người ơi mượn thì trả phải trả chứ ạ. Chứ có cho đâu,17,Trung lập
1416,ủa là đòi nợ mà mấy má? người ta đã giúp bằng cách cho mượn tiền rồi,18,Ủng hộ
1417,nói gì thì nói chứ chuyện mượn tiền thì trả là đúng mà mượn chứ có phải cho đâu mà không trả ?,23,Trung lập
1418,Hy vọng là không phải sự thật,7,Trung lập
1419,"Yêu nhau chia tay nhau là chuyện bình thường mà , còn vấn đề tiền bạc tận 12tỷ chứ ít gì . Mà mượn chứ có phải cho đâu. Vợ chồng bỏ nhau còn phải chia tài sản ấy",41,Trung lập
1420,"Người yêu cũ mượn 12 tỉ xong không trả mấy ông ,mấy ông có đòi không ạ ?",19,Trung lập
1421,Ủa nợ thì phải trả chứ sao má:,10,Trung lập
1422,"Sae Ron nói với dì: “Anh ấy không yêu cầu trả lại, nhưng con sẽ cố kiếm tiền trả lại anh ấy”. Nên vụ đòi tiền con bé không biết là Kim soo hyun hay anh trai của Kim làm",49,Trung lập
1423,Rùi liên quan gì đến vụ nợ má,9,Không liên quan
1424,"Ý là lựa thời điểm đòi nợ không đúng khi con bé này bị tẩy chay bạn ạ, đi làm quán cafe còn mang lên báo cười nhạo, đi làm giáo viên cũng bị bàn tán, tính ra nhỏ làm quần quật kiếm tiền trả chứ không có quỵt nha",55,Ủng hộ
1425,Mượn thì trả chứ sao,5,Không liên quan
1426,Ủa ở bên nhau 6 năm thì sao? 6 năm cho vay 12 tỉ cho vay chứ có phải cho luôn đâu trời chia tay thì phải đòi chứ,31,Trung lập
1427,bằng chứng??,5,Trung lập
1428,bà yên tâm ảnh kiện lun rồi ạ,9,Ủng hộ
1429,"sao đọc báo thấy bảo ông này ngoan lắm với chưa bị phốt gì bao giờ, giờ lòi ra quả này đúng chấn động địa cầu",27,Trung lập
1430,tìm hiểu cho tử tế không lại oan kim soo hyun,11,Trung lập
1431,ngày bả tự sát vào sản ổng tao biết có liên quan đến chuyện tình cảm chứ chả ai làm thế,21,Không ủng hộ
1432,chắc lý do liên quan đến chuyện tình cảm yêu hận,11,Trung lập
1433,Mượn là có nghĩa vụ phải cho hả bị gì không được đòi. Mồ hôi công sức mình mà. Ủa alo ?,27,Ủng hộ
1434,mất đúng ngày sn là muốn cảnh báo ổng luôn rồi đó nhớ suốt đời này luôn,17,Không ủng hộ
1435,Có cho “mượn” mà mượn thì nên trả chứ đâu có phải người ta chủ động cho đâu mà không được đòi,26,Ủng hộ
1436,cho vay thì trả đúng rồi còn có yêu hay không thì có bch hãy nói chứ mấy mẹ cứ vào nói như đúng rồi,26,Trung lập
1437,Để anh tui yên di trời,6,Ủng hộ
1438,anh nào của mày,4,Không liên quan
1439,Liên quan gi mày,4,Không liên quan
1440,Ủa vậy lí do bả kthuc csong là do bả w Kim soo hyun chia tay hay là do Kim soo hyun đòi tiền bả hay là do cộng đồng mạng toxic bả dậy mọi người,42,Trung lập
1441,"all lý do đấy đó bác, thất tình, cviec không ổn, mạng xã hội toxic, còn nhiều lắm",28,Không liên quan
1442,"Lý do như nào thì chỉ mình bả là người rõ nhất, mọi người cũng chỉ suy đoán thôi. Giờ mất rồi gia đình còn không để yên muốn đào lên để ảnh hưởng cả người mất lẫn Kim soo hyun nữa. Chắc gia đình muốn kiếm thêm tiền...",55,Không ủng hộ
1443,nếu vậy có tính qua lại với trẻ vị thành niên không,12,Trung lập
1444,Ý là chủ nợ không được đòi tiền hả,9,Trung lập
1445,cho mượn thì phải trả thôi..dù là người yêu hay vợ chồng chồng ly hôn,18,Không ủng hộ
1446,"Việc nợ phải trả là đúng. Nhưng cái đáng nói là Kim soo hyun tất tay quá chứ cũng không kiểu nhân nghĩa. Đòi lúc khó khăn thì thôi, bạn này muốn điện maybe xin thằng lượng thì Kim soo hyun cũng chặn cả số",50,Không ủng hộ
1447,"ý là không phải đúng hay sai, mà là cái tình các bạn ạ tình người đó",19,Trung lập
1448,"ngày này cũng tới,ai rồi cũng sẽ dính drama",13,Trung lập
1449,Cho vay giờ thành có tội lạ nhỉ,8,Trung lập
1450,"Có vay có trả... Nào cho thì không được đòi, nhưng mượn thì lâu mà không trả thì phải đòi chứ... Bạn đối với bất nhân, nhưng lại muốn tôi có nghĩa... Quy chuẩn gì đây ??",47,Trung lập
1451,không bênh nhưng mà cho mượn mà ủa,8,Trung lập
1452,"Một nhà hiền triết đã từng nói: "" Không có bông tuyết nào trong sạch""",19,Trung lập
1453,không biết thực hư thế nào nhưng sao Kim Saeron lại chọn ngày sinh nhật của Kim SooHyun lúc tao ự tao ử,25,Trung lập
1454,"Biết đâu đã chia tay rồi nhưng cô ta đeo bám. Hẹn hò nhưng đã chia tay, vậy bây giờ cứ bám víu làm gì??? Rồi tận 2021 rồi sao còn tại soo huyn???",44,Ủng hộ
1455,Chia tay từ 2021 và đòi lại 12 tỷ thì có gì sai. Có phải 1tỷ 2 đâu,20,Trung lập
1456,Thật ra chia tay từ 2021 rồi thì cũng không đáng trách ô này. Chỉ trách là hẹn hò năm bà này còn nhỏ quá thôi,27,Trung lập
1457,Ơ thế nhưng mà vay xong chia tay là không phải giả ạ,13,Trung lập
1458,ê tui không về phe ai nm cho vay thì phải trả là đúng rùi chứ trách cái gì vậy,21,Trung lập
1459,bông tuyết nào đen cũng được trừ lee je hoon với byeon woo seok của tao ra là được,21,Không liên quan
1460,"Bữa chắc giận hờn gì nên lộ ảnh với Kim soo hyun đó, cái này tao nghĩ thật",19,Trung lập
1461,công ty Kim Soo Hyun phủ nhận rồi mà ta,10,Trung lập
1462,"Nhà báo đi tìm người nhét tiền rồi tạo tin giả cũng là 1 trường hợp được lên án trong rất nhiều phim nha, giờ bạn Nữ mất không đối chứng rồi, giả giả thật thật",40,Trung lập
1463,Gì không biết nhưng cho mượn tận 12 tỷ thì trả đi chứ,14,Không ủng hộ
1464,"không phải có vụ này mới nói chứ mấy bộ phim có ổng tôi xem phim vì nữ chính và câu chuyện chứ không có thiện cảm gì với ổng cũng trả biết vì sao luôn ""không ghét""",42,Trung lập
1465,"Tâm thư chỗ nào, đây là lời của bà dì nào đó thôi! Có phải trong cuộc đâu!",24,Trung lập
